hotel_most_popular_facilities,hotel_desc_title,hotel_desc_summary,hotel_address,landmarks_nearby,restaurants_and_markets,natural_beauties,hotel_desc_detail,airports_nearby,hotel_name
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Restaurant",Get the celebrity treatment with world-class service at Selman Marrakech,,"BP 24 530 Marrakech Atlas, KM 5, route d’Amizmiz, 40000 Marrakesh, Morocco","El Badi Palace,Koutoubia,Bahia Palace,Djemaa El Fna,Souk of the Medina,Marrakech Plaza,Carré Eden Shopping Center,Marrakech Museum,Medersa Ben Youssef,Majorelle Gardens",Carrefour,"
Ourika
,
Takerkoust
",,"
,
Menara Airport
",Selman Marrakech
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking",,," Km 5, Route de Tahanaout , 40000 Marrakesh, Morocco","Saadian Tombs,El Badi Palace,Menara Gardens,Koutoubia,Djemaa El Fna,Marrakech Museum,Medersa Ben Youssef,Marrakech Plaza,Carré Eden Shopping Center,Majorelle Gardens",Lalla Takerkoust,,,,Aqua Mirage Club & Aqua Parc - All Inclusive
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Indoor Pool",Get the celebrity treatment with world-class service at Hôtel Du Golf Marrakech,,"Circuit de la Palmeraie BP 1488, Palmeraie, 40000 Marrakesh, Morocco","Marrakech Plaza,Djemaa El Fna,Koutoubia,Bahia Palace,Marrakesh Train Station,El Badi Palace,Moulay El Yazid Mosque,Saadian Tombs,Menara Gardens,Agdal Gardens","La Brasserie,Asian Bay,Pasta Cosy",,,,Hôtel Du Golf Marrakech
",Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Indoor Pool,,Restaurant",Get the celebrity treatment with world-class service at Four Seasons Resort Marrakech,,"1 Boulevard de la Menara, Hivernage, 40000 Marrakesh, Morocco","Koutoubia,Majorelle Gardens,Moulay El Yazid Mosque,Djemaa El Fna,Saadian Tombs,El Badi Palace,Marrakech Museum,Medersa Ben Youssef,Bahia Palace,Agdal Gardens",Souk Markets in Medina,"
Atlas Mountains
",,"
,
Menara Airport
",Four Seasons Resort Marrakech
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Non-Smoking Rooms",,,"2 Derb Moulay Abdellah Ben Hezzian Bab el Ksour, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall,Atlas Golf Marrakech","Carrfour,Jamaa Lfna","
Ourika 
",,"
,
Menara Airport
",El Fenn
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Restaurant",,,"10, Arset Ben Nasser, Riad Laarouss, Medina, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Saadian Tombs,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,Palooza Land Park,AL Mazar Mall","Takerkousste,Atlas Montagne",,,,Demeures d'Orient Riad de Luxe & Spa
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Parking,,Room Service",,,"5, Derb Jdid, Derb Dabbachi, Medina, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Agdal Gardens,Marrakesh Train Station,AL Mazar Mall,Menara Gardens,The Montgomerie Golf Course,Atlas Golf Marrakech","Souk,Jamaa Lafna","
Lala Takerkoust
",,"
,
Menara Airport
",Riad Maïpa
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Restaurant","Get the celebrity treatment with world-class service at Dar Rhizlane, Palais Table d'hôtes & SPA",,"Avenue Jnane El Harti Hivernage, Hivernage, 40000 Marrakesh, Morocco","Djemaa El Fna,Moulay El Yazid Mosque,Souk of the Medina,Saadian Tombs,Majorelle Gardens,El Badi Palace,Marrakech Museum,Medersa Ben Youssef,Bahia Palace,Agdal Gardens",Carrefour Market,,,,"Dar Rhizlane, Palais Table d'hôtes & SPA"
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Indoor Pool",Get the celebrity treatment with world-class service at Palmeraie Palace,,"Palmeraie Golf Palace & Resort Circuit De La Palmeraie, Palmeraie, 40000 Marrakesh, Morocco","Carré Eden Shopping Center,Djemaa El Fna,Bahia Palace,Koutoubia,El Badi Palace,Marrakesh Train Station,Moulay El Yazid Mosque,Saadian Tombs,Menara Gardens,Agdal Gardens",,,,,Palmeraie Palace
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking",,,"Douar Abiad, Circuit De La Palmeraie, Bp 513, Palmeraie, 40000 Marrakesh, Morocco","Koutoubia,Marrakech Plaza,El Badi Palace,Place du 16 Novembre,Carré Eden Shopping Center,Moulay El Yazid Mosque,Saadian Tombs,Marrakesh Train Station,Agdal Gardens,Menara Gardens",,,,,Les Deux Tours
